CISP;Município;Região de Governo (Relacao);Unidade Territorial;AISP (Relacao);RISP (Relacao)
166;Angra dos Reis;Costa Verde; Abraão;33;5
166;Angra dos Reis;Costa Verde; Angra dos Reis;33;5
166;Angra dos Reis;Costa Verde; Cunhambebe;33;5
166;Angra dos Reis;Costa Verde; Jacuecanga;33;5
166;Angra dos Reis;Costa Verde; Mambucaba;33;5
166;Angra dos Reis;Costa Verde; Praia de Araçatiba;33;5
136;Aperibé;Noroeste Fluminense;Aperibé;36;6
118;Araruama;Baixadas Litorâneas; Araruama;25;4
118;Araruama;Baixadas Litorâneas; Morro Grande;25;4
118;Araruama;Baixadas Litorâneas; São Vicente de Paula;25;4
108;Areal;Centro-Sul Fluminense;Areal;38;7
127;Armação dos Búzios;Baixadas Litorâneas;Armação dos Búzios;25;4
132;Arraial do Cabo;Baixadas Litorâneas;Arraial do Cabo;25;4
88;Barra do Piraí;Médio Paraíba; Barra do Piraí;10;5
88;Barra do Piraí;Médio Paraíba; Dorandia;10;5
88;Barra do Piraí;Médio Paraíba; Ipiabas;10;5
88;Barra do Piraí;Médio Paraíba; São José do Turvo;10;5
88;Barra do Piraí;Médio Paraíba; Vargem Alegre;10;5
90;Barra Mansa;Médio Paraíba; Antonio Rocha;28;5
90;Barra Mansa;Médio Paraíba; Floriano;28;5
90;Barra Mansa;Médio Paraíba; Nossa Senhora do Amparo;28;5
90;Barra Mansa;Médio Paraíba; Rialto;28;5
90;Barra Mansa;Médio Paraíba;Regiões Administrativas I, II, III, IV, V, VI, VII, VIII, IX, X, XI, XII, XIII, XIV;28;5
54;Belford Roxo;Metropolitana; Areia Branca;39;3
54;Belford Roxo;Metropolitana; Jardim Redentor;39;3
54;Belford Roxo;Metropolitana; Lote XV;39;3
54;Belford Roxo;Metropolitana; Nova Aurora;39;3
54;Belford Roxo;Metropolitana; Parque São José;39;3
158;Bom Jardim;Serrana;Banquete;11;7
158;Bom Jardim;Serrana;Barra Alegre;11;7
158;Bom Jardim;Serrana;Bom Jardim;11;7
158;Bom Jardim;Serrana;São José do Ribeirão;11;7
144;Bom Jesus de Itabapoana;Noroeste Fluminense; Bom Jesus de Itabapoana;29;6
144;Bom Jesus de Itabapoana;Noroeste Fluminense; Calheiros;29;6
144;Bom Jesus de Itabapoana;Noroeste Fluminense; Carabuçú;29;6
144;Bom Jesus de Itabapoana;Noroeste Fluminense; Pirapetinga de Bom Jesus;29;6
144;Bom Jesus de Itabapoana;Noroeste Fluminense; Rosal;29;6
144;Bom Jesus de Itabapoana;Noroeste Fluminense; Serrinha;29;6
126;Cabo Frio;Baixadas Litorâneas;Cabo Frio;25;4
126;Cabo Frio;Baixadas Litorâneas;Tamoios;25;4
159;Cachoeiras de Macacu;Metropolitana; Cachoeiras de Macacu;35;4
159;Cachoeiras de Macacu;Metropolitana; Japuíba;35;4
159;Cachoeiras de Macacu;Metropolitana; Subaio;35;4
142;Cambuci;Noroeste Fluminense; Cambuci;36;6
142;Cambuci;Noroeste Fluminense; Funil;36;6
142;Cambuci;Noroeste Fluminense; Monte Verde;36;6
142;Cambuci;Noroeste Fluminense; São João do Paraíso;36;6
142;Cambuci;Noroeste Fluminense; Três Irmãos;36;6
134;Campos dos Goytacazes;Norte Fluminense; Campos dos Goytacazes;8;6
146;Campos dos Goytacazes;Norte Fluminense; Campos dos Goytacazes;8;6
